Dyad,Cov,SectionStartTime,SoundID,Start,End,Duration,SoundType,S_Around_Overall_Time,S_Monitor_Overall_Time,S_Keyboard_Overall_Time,S_Face_Overall_Time,S_Around_Mean,S_Monitor_Mean,S_Keyboard_Mean,S_Face_Mean,S_NoFace_Mean,S_CompOnly_Mean,S_BodyOnly_Mean,S_Around_Median,S_Monitor_Median,S_Keyboard_Median,S_Face_Median,S_NoFace_Median,S_CompOnly_Median,S_BodyOnly_Median,S_Around_PopularSD,S_Monitor_PopularSD,S_Keyboard_PopularSD,S_Face_PopularSD,S_NoFace_PopularSD,S_CompOnly_PopularSD,S_BodyOnly_PopularSD,S_Around_Frequency,S_Monitor_Frequency,S_Keyboard_Frequency,S_Face_Frequency,S_NoFace_Frequency,S_CompOnly_Frequency,S_BodyOnly_Frequency,S_Around_Max,S_Monitor_Max,S_Keyboard_Max,S_Face_Max,S_NoFace_Max,S_CompOnly_Max,S_BodyOnly_Max,S_Around_Min,S_Monitor_Min,S_Keyboard_Min,S_Face_Min,S_NoFace_Min,S_CompOnly_Min,S_BodyOnly_Min
1,1,0,13,1648,1753,106,3,0.0,0.0,0.0,106.0,0.0,0.0,0.0,106.0,0.0,0.0,106.0,0.0,0.0,0.0,106.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,106.0,0.0,0.0,106.0,0.0,0.0,0.0,106.0,0.0,0.0,106.0
1,1,0,14,1754,2288,535,1,28.0,22.0,255.0,230.0,14.0,11.0,42.5,38.333333333333336,50.833333333333336,46.166666666666664,121.25,14.0,11.0,35.0,22.5,41.5,35.0,108.5,1.0,3.0,30.944843404569578,40.786708074513143,31.280540631872434,30.818915548012971,108.03095621163408,2.0,2.0,6.0,6.0,6.0,6.0,4.0,15.0,14.0,107.0,127.0,107.0,107.0,260.0,13.0,8.0,9.0,8.0,9.0,9.0,8.0
1,1,0,15,2289,2397,109,3,0.0,16.0,8.0,85.0,0.0,16.0,8.0,85.0,24.0,24.0,46.5,0.0,16.0,8.0,85.0,24.0,24.0,46.5,0.0,0.0,0.0,0.0,0.0,0.0,38.5,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,16.0,8.0,85.0,24.0,24.0,85.0,0.0,16.0,8.0,85.0,24.0,24.0,8.0
1,1,0,16,2398,2408,11,1,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0
1,1,0,17,2409,2638,230,3,22.0,0.0,13.0,195.0,22.0,0.0,13.0,97.5,17.5,13.0,104.0,22.0,0.0,13.0,97.5,17.5,13.0,104.0,0.0,0.0,0.0,24.5,4.5,0.0,31.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,22.0,0.0,13.0,122.0,22.0,13.0,135.0,22.0,0.0,13.0,73.0,13.0,13.0,73.0
1,1,0,18,2639,2999,361,1,74.0,18.0,75.0,194.0,18.5,18.0,15.0,24.25,18.555555555555557,18.600000000000001,44.833333333333336,18.0,18.0,10.0,22.0,10.0,10.0,39.5,10.618380290797651,0.0,13.038404810405298,14.254385290148432,13.466923356556167,15.370100845472681,25.115842720393747,4.0,1.0,5.0,8.0,9.0,5.0,6.0,31.0,18.0,39.0,42.0,39.0,39.0,91.0,7.0,18.0,1.0,8.0,1.0,1.0,9.0
1,1,3000,0,3000,3336,337,1,104.0,52.0,61.0,120.0,52.0,26.0,20.333333333333332,24.0,36.166666666666664,28.25,36.200000000000003,52.0,26.0,23.0,17.0,27.0,27.0,37.0,39.0,5.0,14.007934259633798,10.639548862616309,29.846365868486497,19.689781613821928,11.989995829857492,2.0,2.0,3.0,5.0,6.0,4.0,5.0,91.0,31.0,36.0,41.0,91.0,57.0,53.0,13.0,21.0,2.0,14.0,2.0,2.0,16.0
1,1,3000,1,3337,3539,203,3,0.0,0.0,7.0,196.0,0.0,0.0,7.0,196.0,7.0,7.0,203.0,0.0,0.0,7.0,196.0,7.0,7.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,7.0,196.0,7.0,7.0,203.0,0.0,0.0,7.0,196.0,7.0,7.0,203.0
1,1,3000,2,3540,3566,27,1,0.0,15.0,0.0,12.0,0.0,15.0,0.0,6.0,15.0,15.0,6.0,0.0,15.0,0.0,6.0,15.0,15.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,15.0,0.0,8.0,15.0,15.0,8.0,0.0,15.0,0.0,4.0,15.0,15.0,4.0
1,1,3000,3,3567,3690,124,3,16.0,0.0,0.0,108.0,16.0,0.0,0.0,54.0,16.0,0.0,54.0,16.0,0.0,0.0,54.0,16.0,0.0,54.0,0.0,0.0,0.0,46.0,0.0,0.0,46.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,16.0,0.0,0.0,100.0,16.0,0.0,100.0,16.0,0.0,0.0,8.0,16.0,0.0,8.0
