Dyad,Cov,SectionStartTime,TalkID,Start,End,Duration,TalkType,S_Around_Overall_Time,S_Monitor_Overall_Time,S_Keyboard_Overall_Time,S_Face_Overall_Time,S_Around_Mean,S_Monitor_Mean,S_Keyboard_Mean,S_Face_Mean,S_NoFace_Mean,S_CompOnly_Mean,S_BodyOnly_Mean,S_Around_Median,S_Monitor_Median,S_Keyboard_Median,S_Face_Median,S_NoFace_Median,S_CompOnly_Median,S_BodyOnly_Median,S_Around_PopularSD,S_Monitor_PopularSD,S_Keyboard_PopularSD,S_Face_PopularSD,S_NoFace_PopularSD,S_CompOnly_PopularSD,S_BodyOnly_PopularSD,S_Around_Frequency,S_Monitor_Frequency,S_Keyboard_Frequency,S_Face_Frequency,S_NoFace_Frequency,S_CompOnly_Frequency,S_BodyOnly_Frequency,S_Around_Max,S_Monitor_Max,S_Keyboard_Max,S_Face_Max,S_NoFace_Max,S_CompOnly_Max,S_BodyOnly_Max,S_Around_Min,S_Monitor_Min,S_Keyboard_Min,S_Face_Min,S_NoFace_Min,S_CompOnly_Min,S_BodyOnly_Min,S_NoSpeak_Overall_Time,S_Typing_Overall_Time,S_Speaking_Overall_Time,S_SSS_Overall_Time,S_Hovering_Overall_Time,S_NoSpeak_Mean,S_Typing_Mean,S_Speaking_Mean,S_SSS_Mean,S_Hovering_Mean,S_Sound_Mean,S_NoSound_Mean,S_NoSpeak_Median,S_Typing_Median,S_Speaking_Median,S_SSS_Median,S_Hovering_Median,S_Sound_Median,S_NoSound_Median,S_NoSpeak_PopularSD,S_Typing_PopularSD,S_Speaking_PopularSD,S_SSS_PopularSD,S_Hovering_PopularSD,S_Sound_PopularSD,S_NoSound_PopularSD,S_NoSpeak_Frequency,S_Typing_Frequency,S_Speaking_Frequency,S_SSS_Frequency,S_Hovering_Frequency,S_Sound_Frequency,S_NoSound_Frequency,S_NoSpeak_Max,S_Typing_Max,S_Speaking_Max,S_SSS_Max,S_Hovering_Max,S_Sound_Max,S_NoSound_Max,S_NoSpeak_Min,S_Typing_Min,S_Speaking_Min,S_SSS_Min,S_Hovering_Min,S_Sound_Min,S_NoSound_Min
24,2,3000,8,5673,5999,327,2,0.0,88.0,106.0,133.0,0.0,44.0,21.199999999999999,26.600000000000001,38.799999999999997,38.799999999999997,79.666666666666671,0.0,44.0,12.0,29.0,26.0,26.0,78.0,0.0,30.0,15.791136754521505,9.6457244414299961,42.262986169933612,42.262986169933612,24.931015935086872,0.0,2.0,5.0,5.0,5.0,5.0,3.0,0.0,74.0,47.0,38.0,121.0,121.0,111.0,0.0,14.0,6.0,9.0,6.0,6.0,50.0,195.0,0.0,132.0,0.0,0.0,97.5,0.0,44.0,0.0,0.0,44.0,97.5,97.5,0.0,13.0,0.0,0.0,13.0,97.5,54.5,0.0,48.873987628048795,0.0,0.0,48.873987628048795,54.5,2.0,0.0,3.0,0.0,0.0,3.0,2.0,152.0,0.0,113.0,0.0,0.0,113.0,152.0,43.0,0.0,6.0,0.0,0.0,6.0,43.0
24,2,6000,0,6000,6469,470,2,14.0,25.0,118.0,313.0,14.0,25.0,19.666666666666668,39.125,19.625,20.428571428571427,143.66666666666666,14.0,25.0,11.5,21.0,13.0,12.0,69.0,0.0,0.0,15.084944665313014,42.70081234590274,13.350444749146,14.090089149643376,145.45866155792243,1.0,1.0,6.0,8.0,8.0,7.0,3.0,14.0,25.0,44.0,149.0,44.0,44.0,347.0,14.0,25.0,4.0,12.0,4.0,4.0,15.0,369.0,0.0,101.0,0.0,0.0,369.0,0.0,101.0,0.0,0.0,101.0,369.0,369.0,0.0,101.0,0.0,0.0,101.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,369.0,0.0,101.0,0.0,0.0,101.0,369.0,369.0,0.0,101.0,0.0,0.0,101.0,369.0
24,2,6000,1,6470,6501,32,3,0.0,0.0,3.0,29.0,0.0,0.0,3.0,29.0,3.0,3.0,32.0,0.0,0.0,3.0,29.0,3.0,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,29.0,3.0,3.0,32.0,0.0,0.0,3.0,29.0,3.0,3.0,32.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,32.0
24,2,6000,2,6502,6541,40,1,0.0,0.0,15.0,25.0,0.0,0.0,15.0,25.0,15.0,15.0,40.0,0.0,0.0,15.0,25.0,15.0,15.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,25.0,15.0,15.0,40.0,0.0,0.0,15.0,25.0,15.0,15.0,40.0,40.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0
24,2,6000,3,6542,6709,168,2,18.0,0.0,47.0,103.0,18.0,0.0,47.0,51.5,32.5,47.0,150.0,18.0,0.0,47.0,51.5,32.5,47.0,150.0,0.0,0.0,0.0,41.5,14.5,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,18.0,0.0,47.0,93.0,47.0,47.0,150.0,18.0,0.0,47.0,10.0,18.0,47.0,150.0,168.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,168.0,168.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,168.0,0.0,0.0,0.0,0.0,0.0,168.0,168.0,0.0,0.0,0.0,0.0,0.0,168.0
24,2,6000,4,6710,6755,46,3,3.0,0.0,20.0,23.0,3.0,0.0,20.0,23.0,11.5,20.0,43.0,3.0,0.0,20.0,23.0,11.5,20.0,43.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,0.0,20.0,23.0,20.0,20.0,43.0,3.0,0.0,20.0,23.0,3.0,20.0,43.0,46.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,46.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,46.0
24,2,6000,5,6756,7155,400,2,28.0,0.0,164.0,208.0,28.0,0.0,32.799999999999997,34.666666666666664,32.0,32.799999999999997,186.0,28.0,0.0,33.0,27.5,32.5,33.0,186.0,0.0,0.0,9.8264947972305965,14.602130742539675,9.1469484893414954,9.8264947972305965,69.0,1.0,0.0,5.0,6.0,6.0,5.0,2.0,28.0,0.0,48.0,56.0,48.0,48.0,255.0,28.0,0.0,17.0,21.0,17.0,17.0,117.0,240.0,0.0,160.0,0.0,0.0,120.0,0.0,160.0,0.0,0.0,160.0,120.0,120.0,0.0,160.0,0.0,0.0,160.0,120.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,140.0,0.0,160.0,0.0,0.0,160.0,140.0,100.0,0.0,160.0,0.0,0.0,160.0,100.0
24,2,6000,6,7156,7188,33,3,0.0,0.0,25.0,8.0,0.0,0.0,25.0,8.0,25.0,25.0,33.0,0.0,0.0,25.0,8.0,25.0,25.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,25.0,8.0,25.0,25.0,33.0,0.0,0.0,25.0,8.0,25.0,25.0,33.0,33.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,33.0
24,2,6000,7,7189,8375,1187,2,52.0,37.0,381.0,717.0,26.0,18.5,38.100000000000001,55.153846153846153,36.153846153846153,38.0,219.59999999999999,26.0,18.5,27.5,34.0,28.0,28.0,131.0,6.0,1.5,23.90167358157165,53.061424716072295,21.607855244887762,22.871180754191705,226.5944394728167,2.0,2.0,10.0,13.0,13.0,11.0,5.0,32.0,20.0,98.0,151.0,98.0,98.0,652.0,20.0,17.0,13.0,8.0,13.0,13.0,28.0,899.0,0.0,288.0,0.0,0.0,449.5,0.0,288.0,0.0,0.0,288.0,449.5,449.5,0.0,288.0,0.0,0.0,288.0,449.5,419.5,0.0,0.0,0.0,0.0,0.0,419.5,2.0,0.0,1.0,0.0,0.0,1.0,2.0,869.0,0.0,288.0,0.0,0.0,288.0,869.0,30.0,0.0,288.0,0.0,0.0,288.0,30.0
24,2,6000,8,8376,8436,61,3,20.0,0.0,22.0,19.0,20.0,0.0,22.0,19.0,42.0,22.0,20.5,20.0,0.0,22.0,19.0,42.0,22.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,0.0,1.0,1.0,1.0,1.0,2.0,20.0,0.0,22.0,19.0,42.0,22.0,22.0,20.0,0.0,22.0,19.0,42.0,22.0,19.0,61.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,61.0,61.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,61.0,0.0,0.0,0.0,0.0,0.0,61.0,61.0,0.0,0.0,0.0,0.0,0.0,61.0
