Dyad,TotalDurationFace1_0s,MeanDurationFace1_0s,FrequencyFace1_0s,TotalDurationMonitor1_0s,MeanDurationMonitor1_0s,FrequencyMonitor1_0s,TotalDurationKeyboard1_0s,MeanDurationKeyboard1_0s,FrequencyKeyboard1_0s,TotalDurationAround1_0s,MeanDurationAround1_0s,FrequencyAround1_0s,TotalDurationFace1_200s,MeanDurationFace1_200s,FrequencyFace1_200s,TotalDurationMonitor1_200s,MeanDurationMonitor1_200s,FrequencyMonitor1_200s,TotalDurationKeyboard1_200s,MeanDurationKeyboard1_200s,FrequencyKeyboard1_200s,TotalDurationAround1_200s,MeanDurationAround1_200s,FrequencyAround1_200s,TotalDurationFace2_0s,MeanDurationFace2_0s,FrequencyFace2_0s,TotalDurationMonitor2_0s,MeanDurationMonitor2_0s,FrequencyMonitor2_0s,TotalDurationKeyboard2_0s,MeanDurationKeyboard2_0s,FrequencyKeyboard2_0s,TotalDurationAround2_0s,MeanDurationAround2_0s,FrequencyAround2_0s,TotalDurationFace2_200s,MeanDurationFace2_200s,FrequencyFace2_200s,TotalDurationMonitor2_200s,MeanDurationMonitor2_200s,FrequencyMonitor2_200s,TotalDurationKeyboard2_200s,MeanDurationKeyboard2_200s,FrequencyKeyboard2_200s,TotalDurationAround2_200s,MeanDurationAround2_200s,FrequencyAround2_200s
60,1426,101.85714286,14,51,12.75,4,0,0,0,93,18.6,5,1107,79.071428571,14,111,18.5,6,79,19.75,4,144,28.8,5,1983,132.2,15,349,58.166666667,6,40,40,1,355,59.166666667,6,943,104.77777778,9,508,84.666666667,6,23,23,1,936,133.71428571,7
61,632,26.333333333,24,591,59.1,10,299,27.181818182,11,319,39.875,8,579,36.1875,16,164,27.333333333,6,201,33.5,6,330,41.25,8,801,34.826086957,23,646,53.833333333,12,169,28.166666667,6,1316,109.66666667,12,613,32.263157895,19,227,45.4,5,46,23,2,1844,102.44444444,18
62,926,44.095238095,21,179,19.888888889,9,40,40,1,120,17.142857143,7,605,30.25,20,201,18.272727273,11,106,26.5,4,188,23.5,8,906,64.714285714,14,960,64,15,74,24.666666667,3,16,16,1,979,51.526315789,19,1637,96.294117647,17,0,0,0,0,0,0
63,640,30.476190476,21,0,0,0,863,45.421052632,19,116,38.666666667,3,830,41.5,20,21,21,1,645,49.615384615,13,209,29.857142857,7,643,30.619047619,21,0,0,0,1477,77.736842105,19,516,43,12,911,53.588235294,17,417,83.4,5,605,75.625,8,924,102.66666667,9
64,353,27.153846154,13,305,43.571428571,7,169,42.25,4,852,85.2,10,98,19.6,5,348,174,2,48,24,2,928,232,4,512,42.666666667,12,16,16,1,163,27.166666667,6,2033,145.21428571,14,279,55.8,5,0,0,0,40,20,2,2482,354.57142857,7
65,588,29.4,20,61,30.5,2,355,27.307692308,13,58,14.5,4,599,29.95,20,22,11,2,279,31,9,173,28.833333333,6,2222,123.44444444,18,41,41,1,258,28.666666667,9,343,49,7,1479,92.4375,16,69,23,3,99,33,3,705,64.090909091,11
66,638,24.538461538,26,130,26,5,375,22.058823529,17,109,21.8,5,583,34.294117647,17,442,34,13,116,16.571428571,7,699,46.6,15,949,32.724137931,29,1380,60,23,67,16.75,4,317,24.384615385,13,610,27.727272727,22,923,71,13,164,41,4,733,45.8125,16
67,921,65.785714286,14,0,0,0,568,56.8,10,19,9.5,2,841,60.071428571,14,43,43,1,684,62.181818182,11,242,34.571428571,7,275,22.916666667,12,474,59.25,8,1063,70.866666667,15,753,75.3,10,713,39.611111111,18,342,48.857142857,7,997,83.083333333,12,635,90.714285714,7
68,569,43.769230769,13,614,51.166666667,12,129,32.25,4,311,62.2,5,580,72.5,8,533,106.6,5,0,0,0,437,48.555555556,9,679,61.727272727,11,216,30.857142857,7,447,111.75,4,348,43.5,8,281,40.142857143,7,321,45.857142857,7,716,179,4,1416,141.6,10
69,216,15.428571429,14,343,34.3,10,828,46,18,94,23.5,4,138,15.333333333,9,899,49.944444444,18,548,34.25,16,346,38.444444444,9,254,23.090909091,11,237,59.25,4,1396,82.117647059,17,898,49.888888889,18,210,13.125,16,440,44,10,1145,45.8,25,835,33.4,25
