,Dyad,TotalDurationFace1_0s,MeanDurationFace1_0s,FrequencyFace1_0s,TotalDurationMonitor1_0s,MeanDurationMonitor1_0s,FrequencyMonitor1_0s,TotalDurationKeyboard1_0s,MeanDurationKeyboard1_0s,FrequencyKeyboard1_0s,TotalDurationAround1_0s,MeanDurationAround1_0s,FrequencyAround1_0s,TotalDurationFace1_200s,MeanDurationFace1_200s,FrequencyFace1_200s,TotalDurationMonitor1_200s,MeanDurationMonitor1_200s,FrequencyMonitor1_200s,TotalDurationKeyboard1_200s,MeanDurationKeyboard1_200s,FrequencyKeyboard1_200s,TotalDurationAround1_200s,MeanDurationAround1_200s,FrequencyAround1_200s,TotalDurationFace2_0s,MeanDurationFace2_0s,FrequencyFace2_0s,TotalDurationMonitor2_0s,MeanDurationMonitor2_0s,FrequencyMonitor2_0s,TotalDurationKeyboard2_0s,MeanDurationKeyboard2_0s,FrequencyKeyboard2_0s,TotalDurationAround2_0s,MeanDurationAround2_0s,FrequencyAround2_0s,TotalDurationFace2_200s,MeanDurationFace2_200s,FrequencyFace2_200s,TotalDurationMonitor2_200s,MeanDurationMonitor2_200s,FrequencyMonitor2_200s,TotalDurationKeyboard2_200s,MeanDurationKeyboard2_200s,FrequencyKeyboard2_200s,TotalDurationAround2_200s,MeanDurationAround2_200s,FrequencyAround2_200s,DifTotalDurationAround_1S_1E,DifTotalDurationAround_2S_2E,DifTotalDurationAround_1S_2S,DifTotalDurationAround_1E_2E,DifTotalDurationAround_1E_2S,DifTotalDurationFace_1S_1E,DifTotalDurationFace_2S_2E,DifTotalDurationFace_1S_2S,DifTotalDurationFace_1E_2E,DifTotalDurationFace_1E_2S,DifMeanDurationAround_1S_1E,DifMeanDurationAround_2S_2E,DifMeanDurationAround_1S_2S,DifMeanDurationAround_1E_2E,DifMeanDurationAround_1E_2S,DifMeanDurationFace_1S_1E,DifMeanDurationFace_2S_2E,DifMeanDurationFace_1S_2S,DifMeanDurationFace_1E_2E,DifMeanDurationFace_1E_2S
39,51,3.3855195689429256,1.0236492501946544,16,0.0,0.0,0,2.100060828882572,0.4682660093471948,12,0.7576857016975165,0.4489502200479032,2,3.732098573233913,1.3640244067598541,14,0.26236426446749106,0.26236426446749106,1,2.0237526358192475,0.46810789408083636,11,0.6061358035703156,0.6061358035703156,1,3.5881378843124043,0.9549285245795691,22,2.634284050862601,1.0464832232331631,7,3.414442608412176,1.042923382807521,16,2.6508917872622613,0.787079000394149,11,3.4446824936018943,0.9229352745928237,20,2.72785282839839,1.0251451367862372,8,3.300762984340385,1.1561821404895876,12,3.064947342575464,1.1849032416055854,9,0.15154989812720088,0.4140555553132028,1.8932060855647448,2.4588115390051484,2.0447559836919456,0.3465790042909873,0.14345539071051006,0.20261831536947872,0.28741607963201865,0.1439606889215086,0.1571855835224124,0.39782424121143634,0.3381287803462458,0.5787674380352698,0.18094319682383342,0.3403751565651998,0.031993249986745464,0.06872072561508524,0.4410891321670305,0.40909588218028503
40,52,3.0236716422432326,0.7357453744814563,18,2.0959708436310462,0.4665253648694108,12,1.410986973710262,0.4824261492442928,5,1.6613976513648114,0.5371429320833642,6,2.782951509275328,0.5643663906940205,20,2.0455399900041544,0.5585570265871805,9,0.36000273403140703,0.36000273403140703,1,1.8971199848858813,0.6649763035932491,6,3.5798083590595744,0.736964684059999,32,3.1075717553095266,0.8856024030687053,15,2.8507065015037334,0.6723440529301822,17,2.719100037288795,1.0191481173138628,8,3.4318343511240452,0.946019848345865,19,1.4816045409242156,0.6151856390902335,4,3.309325727790273,1.0589470322756782,14,2.7767467323884447,0.9836031798944515,9,0.23572233352106986,0.057646695099649925,1.0577023859239834,0.8796267475025634,0.8219800524029135,0.24072013296790473,0.14797400793552917,0.5561367168163418,0.6488828418487174,0.7968568497842465,0.12783337150988494,0.03554493741941134,0.4820051852304986,0.31862687630120234,0.3541718137206137,0.17137898378743577,0.209055164285866,0.001219309578542771,0.38165345765184455,0.17259829336597854
41,53,3.3416832541297476,1.0809977419671275,14,3.289644895756408,1.094329626876109,13,1.2237754316221157,0.7884573603642703,2,1.892107443062337,0.8789349453303861,4,3.0834378539730967,1.0626186860202043,11,3.077312260546414,0.907682357337555,14,0.9028677115420144,0.550046336919272,2,2.3059128830867204,1.0319975395861256,5,3.513533511056407,1.0701052207417838,17,3.539025087457483,1.1280362382359954,16,0.0,0.0,0,2.151762203259462,0.8183103235139513,6,3.042933875038285,1.2515717831252149,8,3.283414346005772,1.2716314527997508,10,0.6418538861723947,0.371563556432483,2,3.2859112262043593,2.0059743897979634,4,0.41380544002438335,1.1341490229448974,0.25965476019712486,0.9799983431176389,0.1541506798272585,0.258245400156651,0.47059963601812216,0.17185025692665956,0.04050397893481161,0.43009565708331055,0.15306259425573954,1.187664066284012,0.0606246218164348,0.9739768502118378,0.21368721607217434,0.01837905594692324,0.18146656238343106,0.010892521225343677,0.18895309710501063,0.007486534721579563
42,54,3.3463891451671604,0.604481543474289,33,2.667228206581955,0.85015092936961,10,2.8641038310755547,0.6024928122918145,20,1.2809338454620642,0.41871033485818504,5,3.036554268074246,0.664976303593249,21,1.1837700970084166,0.5627853626967018,3,2.970414465569701,0.8034952377288107,15,3.339321977944068,1.1289176381634387,13,3.7954891891721947,1.0617077317326586,23,2.8583840824027678,0.913863546216544,11,3.0476920124847022,0.6706743247078867,21,2.2300144001592104,1.1233049012584813,4,4.015782239718998,1.2143535203804967,23,2.6602595372658615,0.9073621011298537,9,2.655586631566469,0.6324531118876888,15,2.328902401311419,0.7693363189174917,8,2.058388132482004,0.09888800115220864,0.9490805546971461,1.010419576632649,1.1093075777848576,0.30983487709291424,0.22029305054680348,0.44910004400503434,0.9792279716447521,0.7589349210979486,0.7102073033052536,0.3539685823409896,0.7045945664002962,0.35958131924594705,0.005612736904957449,0.060494760118960045,0.15264578864783807,0.4572261882583697,0.5493772167872477,0.39673142813940965
43,55,2.732200661334493,0.5631184184866247,19,1.2237754316221157,0.47000362924573563,4,2.9373966965410276,0.8647274955224873,13,1.33500106673234,0.5306282510621704,4,2.3978952727983707,0.8873031950009029,7,0.8183103235139513,0.4906229164484712,2,1.8614928072427301,0.6447735962757295,6,2.0626344233634546,0.9994056385846617,4,2.766319109226186,0.8072196368197931,12,1.3862943611198906,0.5596157879354227,4,3.730501128804756,1.3119299458310283,15,2.473733349189875,1.1547825601351642,5,3.5908990457537326,0.9855798557703241,21,1.4508328822574619,0.597003320007043,4,2.9618307218783095,1.041453874828161,10,3.323836260504687,1.0688074244097583,14,0.7276333566311146,0.8501029113148122,1.138732282457535,1.2612018371412326,0.4110989258264204,0.33430538853612246,0.8245799365275466,0.03411844789169294,1.193003772955362,0.3684238364278154,0.4687773875224913,0.08597513572540594,0.6241543090729939,0.0694017858250966,0.15537692155050253,0.32418477651427824,0.178360218950531,0.24410121833316845,0.09827666076942121,0.08008355818110979
44,56,3.8423155930033257,1.0134639769588731,26,1.252762968495368,0.4855078157817008,4,2.3059128830867204,0.5612018310910575,12,2.120263536200091,0.550046336919272,10,4.006726940897444,1.3858312909564874,18,1.5960148921019597,0.6847789308894288,4,2.0059743897979634,0.7286215687536051,6,1.8666607774011728,0.4746225751020301,9,3.1891036665345305,0.5464340512333583,32,3.459466289786131,1.2146844599208637,13,2.8013381355257674,0.6763400622435641,16,3.3843902633457743,0.9490805546971458,18,2.9231615807191558,0.6556092612408803,19,2.8678989020441064,1.0453677741492975,9,2.5776883832389665,0.9245895346888501,8,3.629660094453965,1.2374075804121734,15,0.25360275879891825,0.24526983110819067,1.2641267271456833,1.7629993170527922,1.5177294859446016,0.16441134789411826,0.2659420858153747,0.6532119264687952,1.0835653601782882,0.8176232743629135,0.07542376181724186,0.28832702571502755,0.39903421777787385,0.7627850053101433,0.4744579795951157,0.37236731399761425,0.10917521000752195,0.4670299257255148,0.7302220297156071,0.8393972397231291
45,57,3.3105430133940246,0.9745596399981308,16,1.1735135968412274,0.44361687407254063,4,3.2347491740244907,1.0090001299784226,14,1.9878743481543455,1.1314021114911006,3,3.484312288372662,0.8905066147184405,22,0.15415067982725836,0.15415067982725836,1,3.1340438893515032,0.8294932357536969,17,1.698669046162043,0.556436135018043,6,3.8394523125933104,1.5040773967762742,13,2.762117422372486,1.549333988364395,4,2.506885556506776,0.8117529229677923,9,3.0985896589936988,1.0166387057084372,12,3.6788291182604347,1.3236587901284056,14,0.9028677115420144,0.9028677115420144,1,2.0583881324820035,0.8614824953791601,5,3.8169794567412523,1.6950038007637471,10,0.28920530199230243,0.7183897977475535,1.1107153108393533,2.118310410579209,1.3999206128316557,0.17376927497863726,0.16062319433287575,0.5289092991992859,0.19451682988777286,0.3551400242206486,0.5749659764730576,0.67836509505531,0.11476340578266342,1.138567665745704,0.46020257069039416,0.08405302527969027,0.18041860664786857,0.5295177567781434,0.4331521754099651,0.6135707820578337
46,58,3.5085558999826545,0.8544153281560675,24,2.5649493574615367,0.8472978603872034,9,0.3829922522561059,0.2097205309820691,2,2.348195604246098,0.718742727748909,9,3.5610460826040513,1.289444535129973,13,2.0959708436310462,0.702625924514489,7,0.3829922522561059,0.3829922522561059,1,2.710269957840523,1.1001983318237445,7,3.7248898916369693,1.2610617713100631,16,2.585254623622282,1.1133184360578052,6,1.442989704796436,1.442989704796436,1,3.005682604407159,1.3198492617117379,7,3.8698111566188365,1.591500211747433,12,2.5546399878026755,1.2159013751912098,5,1.1735135968412274,1.1735135968412274,1,3.3416832541297476,1.4834966890762533,8,0.3620743535944251,0.3360006497225885,0.6574870001610611,0.6314132962892245,0.295412646566636,0.05249018262139682,0.1449212649818672,0.21633399165431477,0.30876507401478515,0.16384380903291795,0.3814556040748355,0.16364742736451543,0.6011065339628289,0.3832983572525088,0.2196509298879934,0.43502920697390557,0.3304384404373699,0.4066464431539957,0.30205567661746,0.028382763819909895
47,59,3.0236716422432326,0.7079493663650809,19,1.7749523509116738,0.6830968447064438,5,2.473733349189875,0.791818708066975,9,1.892107443062337,0.5330762327008104,8,3.1164738912501195,1.1495166185298773,10,0.0,0.0,0,2.075266170269355,1.0085660079833259,4,1.7578579175523736,0.6729444732424258,5,3.787970356758167,1.2639051450486098,17,2.9890432854031945,1.211444819164637,8,1.8971199848858813,0.6649763035932491,6,2.77050321574876,1.25117440581023,6,3.312973148247316,1.5646397695342058,7,0.3364722366212129,0.3364722366212129,1,0.7096764825111558,0.7096764825111558,1,2.0237526358192475,0.8386894858506035,5,0.13424952550996339,0.7467505799295124,0.8783957726864229,0.26589471826687383,1.0126452981963863,0.09280224900688694,0.4749972085108509,0.7642987145149345,0.19649925699719661,0.6714964655080475,0.1398682405416154,0.41248491995962655,0.7180981731094197,0.16574501260817776,0.5782299325678043,0.4415672521647964,0.30073462448559596,0.555955778683529,0.4151231510043285,0.11438852651873255
48,60,3.882250847094476,1.4805217037853835,14,0.9932517730102834,0.3541718137206139,4,0.0,0.0,0,1.410986973710262,0.4824261492442928,5,3.634951112088381,1.2908055939412184,14,1.547562508716013,0.4803664162812822,6,1.2901505005669882,0.5058130819424463,4,1.7578579175523736,0.6729444732424258,5,4.206184043977636,1.6876327600191572,15,2.536338823420271,1.0780315809680892,6,0.8472978603872034,0.8472978603872034,1,2.5520459526256287,1.0893098960057963,6,3.47918670052385,1.5024299499456752,9,2.886661178499629,1.3408319870431333,6,0.5690945318899664,0.5690945318899664,1,3.4719664525503626,1.6969253665572162,7,0.3468709438421116,0.9199204999247339,1.1410589789153667,1.714108534997989,0.7941880350732551,0.24729973500609503,0.7269973434537862,0.32393319688316025,0.1557644115645309,0.5712329318892553,0.190518323998133,0.6076154705514198,0.6068837467615036,1.0239808933147905,0.4163654227633705,0.1897161098441651,0.18520281007348194,0.20711105623377368,0.21162435600445684,0.3968271660779388
