,Dyad,TotalDurationAround1,MeanDurationAround1,FrequencyAround1,TotalDurationMonitor1,MeanDurationMonitor1,FrequencyMonitor1,TotalDurationKeyboard1,MeanDurationKeyboard1,FrequencyKeyboard1,TotalDurationFace1,MeanDurationFace1,FrequencyFace1,TotalDurationAround2,MeanDurationAround2,FrequencyAround2,TotalDurationMonitor2,MeanDurationMonitor2,FrequencyMonitor2,TotalDurationKeyboard2,MeanDurationKeyboard2,FrequencyKeyboard2,TotalDurationFace2,MeanDurationFace2,FrequencyFace2
0,1,3.493472657771326,0.5452270504833231,44,2.9195709125884273,0.5004011064301066,27,3.7580945231354095,0.6175729324836958,49,5.345677937907874,1.1204835701378977,101,5.1235670752504,1.8539430691764034,31,2.5310478057858554,0.6022320900898421,14,2.222820124525183,0.7076251997405986,8,4.738534898055515,1.2737532443872037,44
1,3,4.990432586778736,1.3093333199837622,54,4.581560320348958,1.089500608316854,49,3.292126286607793,0.7109870986882764,25,3.47918670052385,0.6408508770612257,35,4.786658062033468,1.1388626912894073,56,4.945444708559043,1.2377807843724669,57,2.512305623976115,0.7576857016975165,10,3.441485900576267,0.6651548590798407,32
2,5,4.015782239718998,1.1043570726250014,27,3.660136985248282,0.780852760979051,32,2.9195709125884273,0.515430390152739,26,5.25297126478116,1.3449021377150516,67,4.11469170355297,1.1989602625023918,26,4.86548106164374,1.3346196057321011,46,2.8716796248840124,0.6297775666273561,19,4.557729111387955,1.0348711703181346,52
3,6,4.0115666357644075,0.7346089703675398,50,4.146304301152812,0.8811344748895774,44,2.72785282839839,0.7419373447293773,13,5.137365835490274,1.0957323285678378,85,4.336418901195749,1.028201178395714,42,4.12120284972497,0.8167772862675152,48,3.147021721100217,0.8371626384931604,17,4.9605109069136875,1.106517468175223,70
4,7,4.330294647583529,1.328809096484419,27,0.8183103235139513,0.4906229164484712,2,4.122824033543969,1.0062184870165458,35,5.100069659203823,1.3638722345005634,56,4.497956101680942,1.5478579733362745,24,0.8614824953791601,0.5207759546191588,2,4.616769321831443,1.8817242994079078,18,4.706221430057819,1.4188537426467815,35
5,8,4.4953553199808844,1.0881877713322254,45,4.782479200958502,1.0575698112895036,63,0.0,0.0,0,4.543294782270004,0.9675840262617057,57,2.963553375189756,0.9284388658098027,12,4.816780821488577,1.1127708408994652,60,2.52038103798166,0.8875482630085011,8,5.001482422965322,1.2781684919307907,57
6,12,3.4863551900024623,0.865759923226939,23,0.9028677115420144,0.550046336919272,2,3.802951910373784,0.7964221897267502,36,5.41179485030781,1.5918573758681416,57,3.2108436531709366,0.8754687373539001,17,0.8892620594862358,0.39053945789148875,3,2.782951509275328,0.7731898882334817,13,5.562986664690745,2.2096470973347766,32
7,14,3.547699840651157,0.6892179024200558,34,2.892221897184326,0.6160861344234837,20,4.721173861744398,0.9344580358296041,72,4.933994201771047,0.9715602376295013,84,3.927896354584436,0.9783261227936078,30,3.803695128542518,0.7968396391170746,36,3.948033442951179,0.7931361524158608,42,5.0530560099802075,1.1138465332399576,76
8,15,4.468204330914934,1.4333192997647537,27,4.267363726353742,1.047626733935242,38,3.7224754035424517,0.9611366196659901,25,4.645351975620923,0.9597093522416761,64,5.046431346368173,2.2598322231876544,18,4.165113633110308,1.653773726254152,15,3.287157332284606,1.043971710820502,14,4.049463414549384,1.0574044172377992,30
9,16,4.914369101902122,1.1915227415751992,59,3.8558053254299174,0.8943858964861051,32,3.7495040759303713,0.7667589979031912,36,4.356708826689592,0.8073395480856003,62,4.908971640319756,1.277187520502443,52,3.2796572971280598,0.7963625398713835,21,3.3684445951903474,0.7315046020520387,26,4.726502471155617,1.0210796556330237,63
