,Dyad,TotalDurationFace1_0s,MeanDurationFace1_0s,FrequencyFace1_0s,TotalDurationMonitor1_0s,MeanDurationMonitor1_0s,FrequencyMonitor1_0s,TotalDurationKeyboard1_0s,MeanDurationKeyboard1_0s,FrequencyKeyboard1_0s,TotalDurationAround1_0s,MeanDurationAround1_0s,FrequencyAround1_0s,TotalDurationFace1_200s,MeanDurationFace1_200s,FrequencyFace1_200s,TotalDurationMonitor1_200s,MeanDurationMonitor1_200s,FrequencyMonitor1_200s,TotalDurationKeyboard1_200s,MeanDurationKeyboard1_200s,FrequencyKeyboard1_200s,TotalDurationAround1_200s,MeanDurationAround1_200s,FrequencyAround1_200s,TotalDurationFace2_0s,MeanDurationFace2_0s,FrequencyFace2_0s,TotalDurationMonitor2_0s,MeanDurationMonitor2_0s,FrequencyMonitor2_0s,TotalDurationKeyboard2_0s,MeanDurationKeyboard2_0s,FrequencyKeyboard2_0s,TotalDurationAround2_0s,MeanDurationAround2_0s,FrequencyAround2_0s,TotalDurationFace2_200s,MeanDurationFace2_200s,FrequencyFace2_200s,TotalDurationMonitor2_200s,MeanDurationMonitor2_200s,FrequencyMonitor2_200s,TotalDurationKeyboard2_200s,MeanDurationKeyboard2_200s,FrequencyKeyboard2_200s,TotalDurationAround2_200s,MeanDurationAround2_200s,FrequencyAround2_200s,DifTotalDurationAround_1S_1E,DifTotalDurationAround_2S_2E,DifTotalDurationAround_1S_2S,DifTotalDurationAround_1E_2E,DifTotalDurationAround_1E_2S,DifTotalDurationFace_1S_1E,DifTotalDurationFace_2S_2E,DifTotalDurationFace_1S_2S,DifTotalDurationFace_1E_2E,DifTotalDurationFace_1E_2S,DifMeanDurationAround_1S_1E,DifMeanDurationAround_2S_2E,DifMeanDurationAround_1S_2S,DifMeanDurationAround_1E_2E,DifMeanDurationAround_1E_2S,DifMeanDurationFace_1S_1E,DifMeanDurationFace_2S_2E,DifMeanDurationFace_1S_2S,DifMeanDurationFace_1E_2E,DifMeanDurationFace_1E_2S
37,49,14.9,0.9933333333333334,15,17.8,2.225,8,18.266666666666666,1.2177777777666667,15,0.0,0.0,0,15.933333333333334,0.7966666666666666,20,14.733333333333333,1.2277777777666665,12,14.966666666666667,0.9354166666666667,16,4.2,0.7,6,16.2,0.9529411764666667,17,66.3,4.14375,16,2.2,1.1,2,0.0,0.0,0,7.2,1.8,4,63.333333333333336,12.666666666666666,5,0.6333333333333333,0.6333333333333333,1,0.0,0.0,0,4.2,0.0,0.0,4.2,4.2,1.0333333333333332,9.0,1.299999999999999,8.733333333333334,0.2666666666666657,0.7,0.0,0.0,0.7,0.7,0.19666666666666677,0.8470588235333334,0.04039215686666675,1.0033333333333334,0.15627450980000002
38,50,20.166666666666668,1.3444444444333332,15,8.566666666666666,2.8555555555666667,3,12.333333333333334,1.1212121212,11,20.066666666666666,2.2296296296333336,9,3.1333333333333333,0.7833333333333333,4,9.933333333333334,9.933333333333334,1,15.333333333333334,2.555555555566667,6,34.8,11.6,3,33.766666666666666,2.2511111111,15,7.766666666666667,1.1095238095333333,7,2.1,1.05,2,39.9,2.6599999999999997,15,7.7,1.1,7,12.4,2.48,5,4.9,2.45,2,65.46666666666667,5.9515151516666664,11,14.73333333333333,25.56666666666667,19.833333333333332,30.66666666666667,5.100000000000001,17.033333333333335,26.066666666666666,13.599999999999998,4.566666666666666,30.633333333333333,9.370370370366667,3.2915151516666667,0.43037037036666614,5.648484848333333,8.94,0.5611111110999999,1.1511111111,0.906666666666667,0.31666666666666676,1.467777777766667
39,51,28.533333333333335,1.7833333333333334,16,0.0,0.0,0,7.166666666666667,0.5972222222333333,12,1.1333333333333333,0.5666666666666667,2,40.766666666666666,2.9119047619000002,14,0.3,0.3,1,6.566666666666666,0.5969696969666667,11,0.8333333333333334,0.8333333333333334,1,35.166666666666664,1.5984848485,22,12.933333333333334,1.8476190476333332,7,29.4,1.8375,16,13.166666666666666,1.1969696969666666,11,30.333333333333332,1.5166666666666666,20,14.3,1.7875,8,26.133333333333333,2.1777777777666665,12,20.433333333333334,2.2703703703666664,9,0.29999999999999993,7.2666666666666675,12.033333333333333,19.6,12.333333333333332,12.23333333333333,4.833333333333332,6.633333333333329,10.433333333333334,5.600000000000001,0.2666666666666667,1.0734006734,0.6303030302999999,1.437037037033333,0.3636363636333332,1.1285714285666668,0.08181818183333345,0.18484848483333338,1.3952380952333336,1.3134199134000002
40,52,19.566666666666666,1.0870370370333333,18,7.133333333333334,0.5944444444333333,12,3.1,0.62,5,4.266666666666667,0.7111111110999999,6,15.166666666666666,0.7583333333333333,20,6.733333333333333,0.7481481481333334,9,0.43333333333333335,0.43333333333333335,1,5.666666666666667,0.9444444444333334,6,34.86666666666667,1.0895833333333333,32,21.366666666666667,1.4244444444333335,15,16.3,0.9588235293999999,17,14.166666666666666,1.7708333333333333,8,29.933333333333334,1.5754385965,19,3.4,0.85,4,26.366666666666667,1.8833333333333333,14,15.066666666666666,1.6740740740666666,9,1.4000000000000004,0.9000000000000004,9.899999999999999,9.399999999999999,8.5,4.4,4.933333333333334,15.3,14.766666666666667,19.700000000000003,0.2333333333333335,0.09675925926666662,1.0597222222333333,0.7296296296333332,0.8263888888999998,0.3287037037,0.4858552631666666,0.0025462963000000283,0.8171052631666667,0.33125000000000004
41,53,27.266666666666666,1.947619047633333,14,25.833333333333332,1.9871794871666668,13,2.4,1.2,2,5.633333333333334,1.4083333333333334,4,20.833333333333332,1.8939393939333333,11,20.7,1.4785714285666667,14,1.4666666666666666,0.7333333333333333,2,9.033333333333333,1.8066666666666669,5,32.56666666666667,1.9156862745,17,33.43333333333333,2.089583333333333,16,0.0,0.0,0,7.6,1.2666666666666666,6,19.966666666666665,2.495833333333333,8,25.666666666666668,2.566666666666667,10,0.9,0.45,2,25.733333333333334,6.433333333333334,4,3.3999999999999995,18.133333333333333,1.966666666666666,16.700000000000003,1.4333333333333336,6.433333333333334,12.600000000000005,5.300000000000004,0.8666666666666671,11.733333333333338,0.39833333333333343,5.166666666666667,0.14166666666666683,4.626666666666667,0.5400000000000003,0.05367965369999972,0.5801470588333331,0.03193277313333298,0.6018939393999998,0.021746880566666738
42,54,27.4,0.8303030303,33,13.4,1.34,10,16.533333333333335,0.8266666666666667,20,2.6,0.52,5,19.833333333333332,0.9444444444333334,21,2.2666666666666666,0.7555555555666665,3,18.5,1.2333333333333334,15,27.2,2.0923076923,13,43.5,1.8913043478333333,23,16.433333333333334,1.4939393939333334,11,20.066666666666666,0.9555555555666666,21,8.3,2.075,4,54.46666666666667,2.3681159420333335,23,13.3,1.4777777777666665,9,13.233333333333333,0.8822222222333332,15,9.266666666666667,1.1583333333333334,8,24.599999999999998,0.9666666666666668,5.700000000000001,17.93333333333333,18.9,7.566666666666666,10.966666666666669,16.1,34.63333333333334,23.666666666666668,1.5723076923,0.9166666666666667,1.5550000000000002,0.9339743589666665,0.017307692299999733,0.11414141413333345,0.4768115942000002,1.0610013175333335,1.4236714976,0.9468599033999999
43,55,14.366666666666667,0.7561403508666665,19,2.4,0.6,4,17.866666666666667,1.3743589743666667,13,2.8,0.7,4,10.0,1.4285714285666666,7,1.2666666666666666,0.6333333333333333,2,5.433333333333334,0.9055555555666666,6,6.866666666666666,1.7166666666666666,4,14.9,1.2416666666666667,12,3.0,0.75,4,40.7,2.7133333333333334,15,10.866666666666667,2.1733333333333333,5,35.266666666666666,1.679365079366667,21,3.2666666666666666,0.8166666666666667,4,18.333333333333332,1.8333333333333333,10,26.766666666666666,1.9119047619,14,4.066666666666666,15.899999999999999,8.066666666666666,19.9,4.000000000000001,4.366666666666667,20.366666666666667,0.5333333333333332,25.266666666666666,4.9,1.0166666666666666,0.2614285714333333,1.4733333333333334,0.19523809523333346,0.4566666666666668,0.6724310777000001,0.4376984127000003,0.48552631580000016,0.2507936508000004,0.18690476189999994
44,56,45.63333333333333,1.755128205133333,26,2.5,0.625,4,9.033333333333333,0.7527777777666668,12,7.333333333333333,0.7333333333333333,10,53.96666666666667,2.998148148133333,18,3.933333333333333,0.9833333333333333,4,6.433333333333334,1.0722222222333333,6,5.466666666666667,0.6074074074,9,23.266666666666666,0.7270833333333333,32,30.8,2.3692307692333334,13,15.466666666666667,0.9666666666666667,16,28.5,1.5833333333333333,18,17.6,0.9263157894666667,19,16.6,1.8444444444333332,9,12.166666666666666,1.5208333333333333,8,36.7,2.4466666666666668,15,1.8666666666666663,8.200000000000003,21.166666666666668,31.233333333333334,23.03333333333333,8.333333333333336,5.666666666666664,22.366666666666667,36.36666666666667,30.700000000000003,0.1259259259333333,0.8633333333333335,0.85,1.8392592592666668,0.9759259259333333,1.2430199430000002,0.1992324561333334,1.0280448717999997,2.0718323586666667,2.2710648148
45,57,26.4,1.65,16,2.2333333333333334,0.5583333333333333,4,24.4,1.7428571428666666,14,6.3,2.1,3,31.6,1.4363636363666668,22,0.16666666666666666,0.16666666666666666,1,21.966666666666665,1.2921568627333333,17,4.466666666666667,0.7444444444333335,6,45.5,3.5,13,14.833333333333334,3.7083333333333335,4,11.266666666666667,1.2518518518666668,9,21.166666666666668,1.7638888889,12,38.6,2.757142857133333,14,1.4666666666666666,1.4666666666666666,1,6.833333333333333,1.3666666666666667,5,44.46666666666667,4.446666666666667,10,1.833333333333333,23.3,14.866666666666667,40.0,16.700000000000003,5.200000000000003,6.899999999999999,19.1,7.0,13.899999999999999,1.3555555555666667,2.6827777777666673,0.33611111110000014,3.702222222233334,1.0194444444666666,0.21363636363333316,0.7428571428666668,1.85,1.3207792207666664,2.063636363633333
46,58,32.4,1.35,24,12.0,1.3333333333333333,9,0.4666666666666667,0.23333333333333334,2,9.466666666666667,1.0518518518666666,9,34.2,2.6307692307666666,13,7.133333333333334,1.0190476190333333,7,0.4666666666666667,0.4666666666666667,1,14.033333333333333,2.0047619047666667,7,40.46666666666667,2.529166666666667,16,12.266666666666667,2.044444444433333,6,3.2333333333333334,3.2333333333333334,1,19.2,2.742857142866667,7,46.93333333333333,3.911111111,12,11.866666666666667,2.3733333333333335,5,2.2333333333333334,2.2333333333333334,1,27.266666666666666,3.408333333333333,8,4.566666666666666,8.066666666666666,9.733333333333333,13.233333333333333,5.166666666666666,1.8000000000000043,6.4666666666666615,8.06666666666667,12.733333333333327,6.266666666666666,0.9529100529000001,0.6654761904666664,1.6910052910000002,1.4035714285666665,0.7380952381000001,1.2807692307666665,1.381944444333333,1.1791666666666667,1.2803418802333333,0.10160256409999979
